ticker,bucket,rank,score,target_weight_raw,target_weight_final,reason,annual_fee_rate,deployment_ml_proba,core_deployment_multiplier_ml,opp_deployment_multiplier_ml,date
PAASI.PA,opportunistic,1,0.5998504332734783,0.15929707181210714,0.0732766530335693,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-02-26
PANX.PA,opportunistic,2,0.3750843223469651,0.1386652620830113,0.0637860205581852,KEEP_OPP,0.003,0.5,1.0,1.0,2021-02-26
PUST.PA,opportunistic,3,0.35807699560908507,0.1368202748005337,0.0629373264082455,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-02-26
NEX.PA,core,2,1.6616311854932797,0.15201618550171436,0.13333333333333333,NEW_ENTRY,,0.5,1.0,1.0,2021-03-31
BNP.PA,core,5,1.4906727495683902,0.1085494136354472,0.13333333333333333,KEEP_TOP_RANK,,0.5,1.0,1.0,2021-03-31
ACA.PA,core,6,1.383616040605695,0.09804147586874075,0.13333333333333333,NEW_ENTRY,,0.5,1.0,1.0,2021-03-31
GLE.PA,core,7,1.2200156721257798,0.07617553368974987,0.1,KEEP_TOP_RANK,,0.5,1.0,1.0,2021-03-31
PAEEM.PA,monetary,1,0.29006001921368885,0.030892736530412468,0.07105329401994867,PERMANENT_ETF,0.003,0.5,1.0,1.0,2021-03-31
ETDD.PA,monetary,2,0.2802811619907757,0.050609033151633474,0.11640077624875698,PERMANENT_ETF,0.001,0.5,1.0,1.0,2021-03-31
ESE.PA,monetary,3,0.2635265365790484,0.048933012926649734,0.11254592973129438,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2021-03-31
PINR.PA,opportunistic,1,1.3594660920131119,0.24918759379843725,0.1,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-03-31
PANX.PA,opportunistic,2,0.051833049219816955,0.0925013445289786,0.049840425175324395,KEEP_OPP,0.003,0.5,1.0,1.0,2021-03-31
PUST.PA,opportunistic,3,0.050934997174920026,0.09309367036823638,0.050159574824675604,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-03-31
PUB.PA,core,1,1.95900201396548,0.08670489871719893,0.09971063352477878,NEW_ENTRY,,0.5,1.0,1.0,2021-04-30
RXL.PA,core,2,1.681299416325731,0.06705378944538888,0.07711185786219724,NEW_ENTRY,,0.5,1.0,1.0,2021-04-30
GLE.PA,core,3,1.6482194190581512,0.05985157729436609,0.06882931388852102,KEEP_TOP_RANK,,0.5,1.0,1.0,2021-04-30
SGO.PA,core,4,1.5658933637865795,0.05558045192014629,0.06391751970816825,NEW_ENTRY,,0.5,1.0,1.0,2021-04-30
RNO.PA,core,5,1.490388997867022,0.04674175247614345,0.05375301534756498,NEW_ENTRY,,0.5,1.0,1.0,2021-04-30
BNP.PA,core,6,1.4208396590177625,0.043835933313266656,0.05041132331025666,KEEP_TOP_RANK,,0.5,1.0,1.0,2021-04-30
ACA.PA,core,7,1.4085332713907672,0.039346581169854025,0.04524856834533214,NEW_ENTRY,,0.5,1.0,1.0,2021-04-30
NEX.PA,core,8,1.3073401860782463,0.03566762435928784,0.04101776801318102,NEW_ENTRY,,0.5,1.0,1.0,2021-04-30
ETDD.PA,monetary,1,0.351326959163236,0.058100681900433854,0.13363156837099782,PERMANENT_ETF,0.001,0.5,1.0,1.0,2021-04-30
ESE.PA,monetary,2,0.2646559987224589,0.04727665268816289,0.10873630118277464,PERMANENT_ETF,0.0014,0.5,1.0,1.0,2021-04-30
PAEEM.PA,monetary,3,0.24230785108347533,0.02505744802009894,0.05763213044622755,PERMANENT_ETF,0.003,0.5,1.0,1.0,2021-04-30
PINR.PA,opportunistic,1,0.4807975118744376,0.14124144070641595,0.06497106272495135,NEW_OPP_ENTRY,0.003,0.5,1.0,1.0,2021-04-30
PALAT.PA,opportunistic,2,0.3914097554757123,0.15012523911254136,0.06905760999176903,KEEP_OPP,0.003,0.5,1.0,1.0,2021-04-30
PANX.PA,opportunistic,3,0.29166261251398234,0.14341592887669488,0.06597132728327965,KEEP_OPP,0.003,0.5,1.0,1.0,2021-04-30
PUB.PA,core,1,1.8814949104941412,0.08620292187966123,0.11014817795734491,NEW_ENTRY,,0.5,1.0,1.0,2021-05-31
NEX.PA,core,2,1.6489288342531325,0.06938166662145331,0.08865435179407924,NEW_ENTRY,,0.5,1.0,1.0,2021-05-31
RXL.PA,core,3,1.6069601323544516,0.06155827734557021,0.07865779883045083,NEW_ENTRY,,0.5,1.0,1.0,2021-05-31
SGO.PA,core,4,1.5764838218584662,0.059845596591504305,0.07646937342247774,NEW_ENTRY,,0.5,1.0,1.0,2021-05-31
